#tyxml-html-schema format=1 generator=Gates.TyxmlSchema inputs=vendor/tyxml-d2916535/lib/html_types.mli,vendor/tyxml-d2916535/lib/html_sigs.mli,vendor/tyxml-d2916535/lib/html_f.ml input-sha256=0031c56d5bcc048b11ba47fd4d840235bfc52ced9722269510818c14004b3df3,5cf48b32cc19f4c9b400f388a749b1a8c0f4e5b058ae88e21ca568a899622f9b,4b777d7c2716e8e39c306a2c4018f3da7aee3bf7678ff3966bda6a441c793c57 rows=946 regenerate=lake exe tyxmlschema --write
#kind	file	line	span-sha256	module	name	params	body	attrs
type	lib/html_types.mli	427	7acd4597b5971a33f65084c8928fdc06c52891e06667d898f85f81ed07d56ce5		subressource_integrity		[ `Crossorigin | `Integrity ]	
type	lib/html_types.mli	440	aa22d61bf5ecb0f600461eb3728b9a894c490613e7c61836fe547b5aed89d41f		transparent	(+'interactive, +'noscript, +'regular, +'media)	[ `A of 'interactive | `Noscript of 'noscript | `Canvas of 'regular | `Map of 'regular | `Ins of 'regular | `Del of 'regular | `Object of 'regular | `Object_interactive of 'regular | `Audio_interactive of 'media | `Video_interactive of 'media | `Audio of 'media | `Video of 'media ]	
type	lib/html_types.mli	456	56472e6d073b108ea421487791a8e40af5f51e333da558ef260345127b46c3c2		transparent_without_interactive	(+'noscript, +'regular, +'media)	[ `Noscript of 'noscript | `Ins of 'regular | `Del of 'regular | `Object of 'regular | `Canvas of 'regular | `Map of 'regular | `Audio of 'media | `Video of 'media ]	
type	lib/html_types.mli	468	ba9b63d8be09781f7c2f76709efa74260bcfd05c92b95db8756164b82c9fbc00		transparent_without_noscript	(+'interactive, +'regular, +'media)	[ `A of 'interactive | `Ins of 'regular | `Del of 'regular | `Canvas of 'regular | `Map of 'regular | `Object of 'regular | `Object_interactive of 'regular | `Video of 'media | `Audio of 'media | `Video_interactive of 'media | `Audio_interactive of 'media ]	
type	lib/html_types.mli	483	58d640499469449b1a2b502e278e34f17920d77f50c52000a4af3e857ae3fa47		transparent_without_media	(+'interactive, +'noscript, +'regular)	[ `A of 'interactive | `Noscript of 'noscript | `Ins of 'regular | `Del of 'regular | `Map of 'regular | `Canvas of 'regular | `Object of 'regular | `Object_interactive of 'regular ]	
type	lib/html_types.mli	496	aff1441d2d8548bb18cb62d2d7d6542cbf906df40a0b3d3e5a61d615ad51f867		metadata_without_title		[ `Template | `Style | `Script | `Noscript of [ `Meta | `Link | `Style ] | `Meta | `Link | `Command | `Base ]	
type	lib/html_types.mli	509	4dad09d0d28f7065050e74987db471901dcf3f7b81ac83989f04dc01730d6c0e		metadata		[ metadata_without_title | `Title ]	
type	lib/html_types.mli	515	3fc51eb99c7c8758443fb3c9dbcdc364cb97803a088906f5d491360174f29e28		core_interactive		[ `Textarea | `Select | `Menu | `Label | `Keygen | `Input | `Img_interactive | `Iframe | `Embed | `Details | `Button ]	
type	lib/html_types.mli	530	a1e1c838f2246d22e71b1a03b2b5cf44eb5991d7846ce9e92a1f9254a7a1f4cc		interactive		[ core_interactive | (interactive, interactive, interactive) transparent_without_interactive ]	
type	lib/html_types.mli	536	9cefa235267019dbdbf6f885a227fb9b6583908ca46eb003644de086c080e0ca		core_phrasing		[ labelable | submitable | `Wbr | `Var | `U | `Svg | `Time | `Template | `Sup | `Sub | `Strong | `Span | `Small | `Script | `Samp | `Ruby | `Q | `Mark | `Label | `Kbd | `Iframe | `I | `Embed | `Em | `Dfn | `Datalist | `Command | `Code | `Cite | `Br | `Bdo | `B | `Abbr | `Img | `Img_interactive | `Picture | `PCDATA ]	
type	lib/html_types.mli	576	831988ad325f69db6b10ab6d58854119a872328a2c9a9951288c44306049dbd4		core_phrasing_without_noscript		[ labelable | submitable | `Wbr | `Var | `U | `Time | `Template | `Sup | `Sub | `Svg | `Strong | `Span | `Small | `Script | `Samp | `Ruby | `Q | `Mark | `Label | `Kbd | `Iframe | `I | `Embed | `Em | `Dfn | `Datalist | `Command | `Code | `Cite | `Br | `Bdo | `Img | `Img_interactive | `Picture | `B | `Abbr | `PCDATA ]	
type	lib/html_types.mli	615	d2210a08681d331cd77ce44211c835c11d6c951fd6617cd464aefffea10ca450		core_phrasing_without_interactive		[ labelable_without_interactive | `Wbr | `Var | `U | `Time | `Template | `Sup | `Sub | `Strong | `Span | `Small | `Script | `Svg | `Samp | `Ruby | `Q | `Mark | `Kbd | `Img | `Picture | `I | `Em | `Dfn | `Datalist | `Command | `Code | `Cite | `Br | `Bdo | `B | `Abbr | `PCDATA ]	
type	lib/html_types.mli	651	596ef03d7f9e2cfd34d2925ca05e0d216186821223a856c4acab8f462ef16d6a		core_phrasing_without_media		[ labelable | submitable | `Wbr | `Var | `U | `Time | `Template | `Svg | `Sup | `Sub | `Strong | `Span | `Small | `Script | `Samp | `Ruby | `Q | `Mark | `Label | `Kbd | `Img | `Img_interactive | `Picture | `Iframe | `I | `Embed | `Em | `Dfn | `Datalist | `Command | `Code | `Cite | `Br | `Bdo | `B | `Abbr | `PCDATA ]	
type	lib/html_types.mli	691	8e6906d90ea59dd673021f54cacf3837903cbfc1e488ef65281dada4a6f65e9e		phrasing_without_noscript		(phrasing_without_interactive, phrasing, phrasing_without_media) transparent_without_noscript	
type	lib/html_types.mli	696	fc78a421df8d68ddae2fa0214eb8b1f15b1177df03d597d9cf65772176091a5c		phrasing_without_media		[ core_phrasing_without_media | (phrasing_without_interactive, phrasing_without_noscript, phrasing) transparent_without_media ]	
type	lib/html_types.mli	704	1e6d1b36eb61767091d139bd3386d468b14e3994c0fffda6aad06b11bfcd54ca		phrasing_without_interactive		[ core_phrasing_without_interactive | (phrasing_without_noscript, phrasing, phrasing_without_media) transparent_without_interactive ]	
type	lib/html_types.mli	711	8407f20bd1545581ddee53d4f8ea569f0afd36fa24b139a51d3624837367df8b		phrasing		[ (phrasing_without_interactive, phrasing_without_noscript, phrasing, phrasing_without_media) transparent | core_phrasing ]	
type	lib/html_types.mli	718	5ae7110c9d92b0de8cef40ed57c82643e44754db4731c041a5e78f44137c6a9a		between_phrasing_and_phrasing_without_interactive	(+'a, +'b)	[< core_phrasing | ([< phrasing_without_interactive ] as 'b, phrasing_without_noscript, phrasing, phrasing_without_media) transparent > `Abbr `B `Bdo `Br `Canvas `Cite `Code `Command `Datalist `Del `Dfn `Em `I `Img `Picture `Ins `Kbd `Map `Mark `Meter `Noscript `Object `PCDATA `Progress `Q `Ruby `Samp `Script `Small `Span `Strong `Sub `Sup `Svg `Template `Time `U `Var `Wbr ] as 'a	
type	lib/html_types.mli	730	dbd4d9dce00832d3de21d695684f2f511c9e28328788ea0b851a8146f9aba5d7		phrasing_without_dfn		[ labelable | submitable | `Wbr | `Var | `U | `Time | `Template | `Sup | `Sub | `Strong | `Span | `Small | `Script | `Samp | `Ruby | `Q | `Mark | `Label | `Img | `Img_interactive | `Picture | `Kbd | `I | `Em | `Datalist | `Command | `Code | `Cite | `Br | `Bdo | `B | `Abbr | `PCDATA | (phrasing_without_interactive, phrasing_without_noscript, phrasing_without_dfn, phrasing_without_media) transparent ]	
type	lib/html_types.mli	768	529c1e273b4134a6ad584fd8640cc08b8ca7cb610fc979ac15f1646d1c755353		phrasing_without_label		[ labelable | submitable | `Wbr | `Var | `U | `Time | `Template | `Sup | `Sub | `Strong | `Span | `Img | `Img_interactive | `Picture | `Small | `Script | `Samp | `Ruby | `Q | `Mark | `Kbd | `I | `Em | `Dfn | `Datalist | `Command | `Code | `Cite | `Br | `Bdo | `B | `Abbr | `PCDATA | (phrasing_without_interactive, phrasing_without_noscript, phrasing_without_label, phrasing_without_media) transparent ]	
type	lib/html_types.mli	806	9870d0f9de34819943a3934bc98c3d2fe753225a5b7cf391d314de0d81941120		phrasing_without_progress		[ resetable | submitable | `Wbr | `Var | `U | `Time | `Template | `Sup | `Sub | `Strong | `Span | `Small | `Script | `Samp | `Img | `Img_interactive | `Picture | `Ruby | `Q | `Meter | `Mark | `Label | `Kbd | `I | `Em | `Dfn | `Datalist | `Command | `Code | `Cite | `Button | `Br | `Bdo | `B | `Abbr | `PCDATA | (phrasing_without_interactive, phrasing_without_noscript, phrasing_without_progress, phrasing_without_media) transparent ]	
type	lib/html_types.mli	847	0f077c7ce4aa370c4f9094c39537bf70237d254f36ad6b1ddd9f919daaa6b596		phrasing_without_time		[ labelable | submitable | `Wbr | `Var | `U | `Template | `Sup | `Sub | `Strong | `Img | `Img_interactive | `Picture | `Span | `Small | `Script | `Samp | `Ruby | `Q | `Mark | `Label | `Kbd | `I | `Em | `Dfn | `Datalist | `Command | `Code | `Cite | `Br | `Bdo | `B | `Abbr | `PCDATA | (phrasing_without_interactive, phrasing_without_noscript, phrasing_without_time, phrasing_without_media) transparent ]	
type	lib/html_types.mli	885	561297c63e344719926c04b531d694bd4d3545886354319b15181c83a6d739bb		phrasing_without_meter		[ submitable | resetable | `Progress | `Button | `Wbr | `Var | `U | `Time | `Template | `Sup | `Img | `Img_interactive | `Picture | `Sub | `Strong | `Span | `Small | `Script | `Samp | `Ruby | `Q | `Mark | `Label | `Kbd | `I | `Em | `Dfn | `Datalist | `Command | `Code | `Cite | `Br | `Bdo | `B | `Abbr | `PCDATA | (phrasing_without_interactive, phrasing_without_noscript, phrasing_without_meter, phrasing_without_media) transparent ]	
type	lib/html_types.mli	926	c75862fe8b8e62ecf63d3566c1a671b4cd63092009fa324f5f833bbf47df6aec		core_flow5		[ core_phrasing | formassociated | formatblock | `Ul | `Table | `Style | `Ol | `Menu | `Hr | `Form | `Figure | `Dl | `Details | `Main | `Dialog ]	
type	lib/html_types.mli	945	7ddba4ec41808f640c90b41fa21e46ce0923c3fd1a2f4a8c15d21d4049fb2948		core_flow5_without_interactive		[ core_phrasing_without_interactive | formassociated | formatblock | `Ul | `Table | `Style | `Ol | `Menu | `Hr | `Form | `Figure | `Dl | `Main | `Dialog ]	
type	lib/html_types.mli	963	8b5d4e89d7c3d5eff71ece34873c17a495bcd82fea050a69a99788f4672ff608		core_flow5_without_noscript		[ core_phrasing_without_noscript | formassociated | formatblock | `Ul | `Table | `Style | `Ol | `Menu | `Hr | `Form | `Figure | `Dl | `Details | `Main | `Dialog ]	
type	lib/html_types.mli	981	651af3ea12ca7a753b8f49e7e78b9d129f2582824cb2430fae80d16bcb147a7a		core_flow5_without_media		[ core_phrasing_without_media | formassociated | formatblock | `Ul | `Table | `Style | `Ol | `Menu | `Hr | `Form | `Figure | `Dl | `Details | `Main | `Dialog ]	
type	lib/html_types.mli	1000	64b2d00b0f2b774cd60b1b4873250134eae3e6e17fdeca6688eaa5bb8260f86e		flow5_without_interactive		[ core_flow5_without_interactive | (flow5_without_noscript, flow5, flow5_without_media) transparent_without_interactive ]	
type	lib/html_types.mli	1007	c9ca3ee54dfcdb836fe87681bb1c0f128eab5de5b7d7b34a7c45054c1fc6f3ae		flow5_without_noscript		[ core_flow5_without_noscript | (flow5_without_interactive, flow5, flow5_without_media) transparent_without_noscript ]	
type	lib/html_types.mli	1014	25bf403eaba7cd55a462b667c273b270ac23ffbeeeee631264e062e1a19e936f		flow5_without_media		[ core_flow5_without_media | (flow5_without_interactive, flow5_without_noscript, flow5) transparent_without_media ]	
type	lib/html_types.mli	1019	d9f676921e1e8606a66b0424709f281cb44e7ed4d7057b06182a4c9079258735		flow5		[ core_flow5 | (flow5_without_interactive, flow5_without_noscript, flow5, flow5_without_media) transparent ]	
type	lib/html_types.mli	1026	2488030347b0fab76f1cd8227ad920b12395aae35959d3bcc1d2debfde78471c		flow5_without_table		[ core_phrasing | formassociated | formatblock | `Ul | `Style | `Ol | `Menu | `Hr | `Form | `Figure | `Dl | `Details | `Main | `Dialog | (flow5_without_interactive, flow5_without_noscript, flow5, flow5_without_media) transparent ]	
type	lib/html_types.mli	1046	4d67314ccb01add279c427644513338d389a64f120b2a8e36cba2ae3c54ea5d5		flow5_without_interactive_header_footer		[ heading | sectioning | `Pre | `P | `Div | `Blockquote | `Address | core_phrasing_without_interactive | formassociated | `Ul | `Table | `Style | `Ol | `Menu | `Hr | `Form | `Figure | `Dl | `Main | `Dialog | (flow5_without_noscript, flow5, flow5_without_media) transparent_without_interactive ]	
type	lib/html_types.mli	1072	12b790bfc1e286644f57da56e2b01b0bbab7f29f5ad9e7b9a82b494445489242		flow5_without_header_footer		[ heading | sectioning | `Pre | `P | `Div | `Blockquote | `Address | core_phrasing | formassociated | `Ul | `Table | `Style | `Ol | `Menu | `Hr | `Form | `Figure | `Dl | `Details | `Main | `Dialog | (flow5_without_interactive_header_footer, flow5_without_noscript, flow5, flow5_without_media) transparent ]	
type	lib/html_types.mli	1100	19e42ed77594081ce998274f850c41d2a6c5a5bab24c5ef612b8a5b275fa52a9		between_flow5_and_flow5_without_interactive_header_footer	+'a	[< flow5 > `Abbr `Address `Article `Aside `Audio `B `Bdo `Blockquote `Br `Button `Canvas `Cite `Code `Command `Datalist `Del `Dfn `Dialog `Div `Dl `Em `Fieldset `Figure `Form `H1 `H2 `H3 `H4 `H5 `H6 `Hgroup `Hr `I `Img `Picture `Input `Ins `Kbd `Keygen `Label `Map `Mark `Menu `Meter `Nav `Noscript `Object `Ol `Output `P `PCDATA `Pre `Progress `Q `Ruby `Samp `Script `Section `Select `Small `Span `Strong `Style `Sub `Sup `Svg `Table `Template `Textarea `Time `U `Ul `Var `Video `Wbr ] as 'a	
type	lib/html_types.mli	1109	bc020cc020eef2d452a26f87ea43027dad7f87deee57d0764bbb1371f792468e		between_flow5_and_flow5_without_header_footer	(+'a, +'b)	[< core_flow5 | ([< flow5_without_interactive ] as 'b, flow5_without_noscript, 'a, flow5_without_media) transparent > `A `Abbr `Address `Article `Aside `Audio `Audio_interactive `B `Bdo `Blockquote `Br `Button `Canvas `Cite `Code `Command `Datalist `Del `Details `Dfn `Dialog `Div `Dl `Em `Embed `Fieldset `Figure `Form `H1 `H2 `H3 `H4 `H5 `H6 `Hgroup `Hr `I `Iframe `Img `Img_interactive `Picture `Input `Ins `Kbd `Keygen `Label `Map `Mark `Menu `Meter `Nav `Noscript `Object `Object_interactive `Ol `Output `P `PCDATA `Pre `Progress `Q `Ruby `Samp `Script `Section `Select `Small `Span `Strong `Style `Sub `Sup `Svg `Table `Template `Textarea `Time `U `Ul `Var `Video `Video_interactive `Wbr ] as 'a	
type	lib/html_types.mli	1126	3b43575b2d6102d5a0a0b625c497f33852e61735a6a0d4dcc7b078587ddc15ba		flow5_without_form		[ core_phrasing | formassociated | formatblock | `Ul | `Table | `Style | `Ol | `Menu | `Hr | `Figure | `Dl | `Details | `Main | `Dialog | (flow5_without_interactive, flow5_without_noscript, flow5, flow5_without_media) transparent ]	
type	lib/html_types.mli	1146	c59d509a7f1b6fc39479b7793e8e88a6867b0a8aab47d2ba33a0d86cbd9e82cf		flow5_without_sectioning_heading_header_footer_address		[ core_phrasing | formassociated | `Pre | `P | `Div | `Blockquote | `Ul | `Table | `Style | `Ol | `Menu | `Hr | `Form | `Figure | `Dl | `Details | `Main | `Dialog | (flow5_without_interactive, flow5_without_noscript, flow5, flow5_without_media) transparent ]	
type	lib/html_types.mli	1170	57557e4a34bafd8b2fd62105a5724b33f8e2c4bd5541c5284074ec744ec8f8f2		flow5_without_sectioning_heading_header_footer		[ flow5_without_sectioning_heading_header_footer_address | `Address ]	
